dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAR,IS,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
MAR,IS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
MAR,IS,STE1CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1CR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,STE1AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,BMSWAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,IS,ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,NF,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
MAR,NF,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,NF,KRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,NF,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
MAR,NF,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
MAR,NF,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.62443023,-84.5669508,-30.60467528,3.089974248,-11.97775462,-5.139992957,-21.40681334,-8.791161981,-20.41338532,-13.6123134,1.565152784,0.493636432,5.665332111,8.403086007,7.950936852,-1.530884231,-6.765286903,-7.364298878,-3.693207355,-13.16521281,-14.49797884,0.381995149,-3.421809634,0.400134229,-3.705257692,-2.702928984,-1.536701504,-0.784772192,14.35155775,-0.787047658,-3.869504283,-13.32198889,-2.848682318,-0.839699747,4.551044866,1.584980927,8.000263076,0.476422485,10.10529521,4.8826151,1.516338189,5.501416166,3.966789818,3.661514725,4.37657357,4.001626038,4.013238111,4.130479239,4.048447796,4.064055049,4.080994028,4.064498958,4.069849345,4.071780777,4.068709693,4.070113272,4.070201247,4.069674737,4.069996419,4.069957468,4.069876208,4.069943365,4.06992568,4.069915084,4.069928043,4.069922936,4.069922021,4.069924333,4.069923097,4.06992315,4.069923527
MAR,NF,STE1CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1CR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,STE1AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,BMSWAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NF,ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CH,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CH,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CH,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,CH,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
MAR,CH,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,CH,KRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.2818622,-141.4019602,-23.00552195,10.02470252,30.61765188,24.54123156,23.82167456,17.82517328,22.12220566,20.3338741,20.87268285,17.84508321,21.55164856,27.25195781,22.61843772,32.51709946,-1.402999591,-0.936058782,-1.091464097,-0.942569053,-2.023549009,-1.156034907,1.753794236,-0.386289996,-1.817054794,-2.889855553,-2.05615822,4.481153237,-6.609084639,-2.681032455,-4.131737844,-1.033789496,-0.996881232,-0.928035483,-0.98154531,-1.050676636,-1.128247621,-1.205145234,-1.265873429,-1.307744182,-2.437315465,-1.670311025,-1.805123557,-1.970916682,-1.815450422,-1.86383022,-1.883399108,-1.854226583,-1.867151971,-1.868259221,-1.863212592,-1.866207928,-1.865893247,-1.865104589,-1.865735254,-1.865577697,-1.865472513,-1.865595155,-1.865548455,-1.865538708,-1.865560772,-1.865549312,-1.865549597,-1.865553227,-1.865550712,-1.865551179,-1.865551706,-1.865551199,-1.865551361,-1.865551422,-1.865551327
MAR,CH,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.97904E-13,-107.5981652,-145.7182632,-27.32182495,5.708399522,26.30134888,20.22492857,19.50537156,13.50887028,17.80590266,16.0175711,16.55637985,13.52878021,17.23534556,22.93565481,18.30213472,28.20079646,-3.184576555,-2.124567397,-2.457303716,-2.116901636,-4.518932625,-2.582922613,3.901494261,-0.863889574,-4.049957462,-6.439645526,-4.582299697,9.983136199,-14.72590161,-5.975004547,-9.209121117,-2.30451764,-2.222293077,-2.068875347,-2.188225024,-2.34242252,-2.515459989,-2.687021499,-2.822554295,-2.916057467,-5.435203193,-3.724604985,-4.025288548,-4.395032242,-4.048308592,-4.156209794,-4.199850209,-4.134789532,-4.163616512,-4.166085417,-4.154830487,-4.161510805,-4.160808903,-4.159050065,-4.160456591,-4.160105186,-4.159870614,-4.160144131,-4.160039977,-4.160018241,-4.160067449,-4.160041889,-4.160042526,-4.160050622,-4.160045012,-4.160046053,-4.160047229,-4.160046098,-4.16004646,-4.160046596,-4.160046385
